TwitterIDsOfHumanUsers,#Friends,#BotFollowees
531442979,291,14
15530118,119,14
262165317,126,14
429647166,323,14
434460614,328,14
3604991185,94,14
493038766,77,14
2425001424,189,14
877925696,133,14
2661524223,200,14
114910555,168,14
1329806942,219,14
1392517694,225,14
96737211,212,14
26970502,183,14
135441917,113,14
1646872513,199,14
9351052,182,14
436978148,233,14
91866745,342,14
91823642,265,14
359219562,314,14
444833485,396,14
847160485,294,14
84426046,122,14
82223420,60,14
468198674,369,14
794406714,235,14
349796717,221,14
107990833,340,14
2275686336,263,14
1659710504,309,13
103055195,123,13
72149178,289,13
118620257,256,13
426531620,368,13
56466070,273,13
568388087,275,13
51738765,268,13
515271142,264,13
11142362,100,13
913855980,91,13
495053365,353,13
99716926,139,13
1560481692,287,13
470696070,315,13
123912727,148,13
2285982638,109,13
3180093456,143,13
216940212,173,13
777083114,213,13
2191484615,192,13
44324787,138,13
14807739,197,13
2320619815,121,13
490625409,108,13
471422290,174,13
264538100,300,13
2795151108,192,13
406332336,263,13
858836726,103,13
2948062269,352,13
1039093681,170,13
2273691318,140,13
451397835,366,13
3020165893,224,13
846476335,222,13
14112759,343,13
2675560628,231,13
578916985,181,13
713804306,282,13
48964118,182,13
79328703,175,13
268315167,170,13
96815122,185,13
968059567,219,13
27887098,145,13
237886553,168,13
18735790,214,13
2240095033,285,13
383785250,315,13
382247829,112,13
9664862,240,13
477552640,243,13
18463828,227,13
3068425183,116,13
461010838,123,13
1926394171,255,13
24725275,139,13
25085431,138,13
3069153899,114,13
39030312,179,13
3140211968,86,13
498042431,197,13
964327405,186,13
3300872434,82,13
365622635,210,13
482086639,282,13
17421795,167,13
2351779201,336,13
40219052,266,13
1387135098,361,13
3288028291,289,13
840460058,55,13
348885670,179,13
30062603,386,13
332579042,169,13
350791585,218,13
216305430,222,13
36381609,309,13
1549052863,370,13
2461920925,100,13
1425134526,138,13
481994964,124,13
12623352,225,13
48174034,295,13
475693524,286,13
308554579,271,13
1675170325,289,13
711216631,274,13
11690822,366,13
75522479,275,13
812919140,242,13
227400559,223,13
419617449,260,13
387026133,221,13
83285256,267,12
218071279,164,12
21253156,180,12
602758496,170,12
2384027766,367,12
240362521,217,12
210789285,198,12
206570295,229,12
2409935663,289,12
203583202,328,12
482179475,197,12
45314390,290,12
384753006,261,12
377034315,289,12
363991245,177,12
3637105998,179,12
19335843,311,12
2472109537,326,12
2887479128,191,12
2837440844,178,12
186325236,79,12
1017001452,88,12
259680844,167,12
185390609,231,12
181191283,312,12
213490843,194,12
17225810,173,12
255797289,387,12
1368782322,301,12
117343076,286,12
112090178,244,12
1587037303,128,12
1567476296,146,12
2615998837,263,12
150183040,243,12
2629722555,347,12
1476770959,80,12
14418605,138,12
264801154,358,12
141977425,119,12
34355343,270,12
140138671,377,12
94841494,171,12
1344649519,343,12
90229508,335,12
79928314,367,12
1297400558,92,12
798613004,289,12
128143965,200,12
343931635,276,12
745638440,291,12
706819428,298,12
704248286,236,12
701708133,41,12
62688517,208,12
616602934,309,12
55431252,248,12
54666401,244,12
52314977,293,12
517073805,321,12
498814013,278,12
498358491,168,12
492501987,349,12
49240687,231,12
1081092084,159,12
479506412,123,12
1053161654,339,12
105128951,87,12
435724709,280,12
434731905,180,12
421577024,127,12
318949971,122,12
324379088,287,12
4067937256,43,12
331418316,91,12
38199599,189,12
2283543823,82,12
2275376744,264,12
2248842775,384,12
338284756,219,12
469760228,244,11
491630583,269,11
282727874,363,11
111354647,91,11
633817553,314,11
19646481,391,11
482242692,275,11
2259016411,148,11
104818930,284,11
63501503,158,11
70228722,233,11
71495570,386,11
474043803,194,11
76286424,213,11
3019448191,27,11
127895572,264,11
84114885,116,11
84361482,262,11
858038708,60,11
1070682204,150,11
2732060316,177,11
1333119788,159,11
197336556,156,11
1343220962,163,11
524820621,268,11
2697793964,96,11
566099034,32,11
35942782,220,11
1442867772,326,11
75270480,244,11
1495120194,210,11
1518993158,228,11
152742559,305,11
15622858,115,11
2614587271,227,11
165042220,256,11
423893707,374,11
1027713949,220,11
423666184,286,11
602212821,177,11
2325291331,198,11
2585969946,302,11
2367477707,182,11
1686033637,210,11
4190306474,276,11
415835711,158,11
4141747640,155,11
142239909,192,11
407818010,328,11
232678324,221,11
402979897,117,11
1690030831,185,11
171971541,39,11
2536750700,251,11
401423776,325,11
225281874,134,11
3385862362,311,11
366081148,310,11
2181612314,315,11
392080330,343,11
391614396,144,11
251313896,125,11
2386674962,291,11
183959464,77,11
27725752,71,11
366147882,254,11
2355847777,205,11
283906965,256,11
2469581288,282,11
332699729,319,11
333168046,385,11
54864334,120,11
438756932,83,11
1165440415,308,11
55819049,228,11
2236789484,188,11
562357919,346,11
570601271,267,11
231058132,204,11
573301009,187,11
104491100,172,11
51015996,360,11
57365720,71,11
506055335,209,11
57376225,210,11
2436794876,346,11
453285193,356,11
